authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,predict
오지수,https://yt3.ggpht.com/ytc/AKedOLQ9JaxABqtSK-2i1rYcrmDrs_7c31sr5kTvg9L35Co=s48-c-k-c0x00ffffff-no-rj,크리스틴 스튜어트 트와일라잇에서 연기하는거 보면 발연기를 알 수 있음.. ㅎㅎ,크리스틴 스튜어트 트와일라잇에서 연기하는거 보면 발연기를 알 수 있음.. ㅎㅎ,0,20211024,good_feedback
뉴니태,https://yt3.ggpht.com/ytc/AKedOLQ3kjK3D1jCBZhDKcQl2_edUkaaM2OALYNlZZ0vvQ=s48-c-k-c0x00ffffff-no-rj,와 쿠리코씨 맞구나 ㅋㅋㅋ 익숙한사람이 있어서 놀랐네,와 쿠리코씨 맞구나 ㅋㅋㅋ 익숙한사람이 있어서 놀랐네,0,20211022,good_feedback
CD AB,https://yt3.ggpht.com/ytc/AKedOLS3DaJVat4DeP8O99WttCSl32baUBgRyYuM10hqvQ=s48-c-k-c0x00ffffff-no-rj,아니 쿠리코가 여기 왜 나왔어? ㅋㅋㅋㅋㅋㅋ,아니 쿠리코가 여기 왜 나왔어? ㅋㅋㅋㅋㅋㅋ,0,20211016,good_feedback
인류사상 최대최악의희망적 사건,https://yt3.ggpht.com/ytc/AKedOLT8Zg7MjPpv_f_MS6Bw-FRWdvXaNxbzie9GGQ=s48-c-k-c0x00ffffff-no-rj,저 일본 발연기 알아봅니다 (노⬆️리⬇️미⬇️치⬆️  꾼⬆️⬆️!),저 일본 발연기 알아봅니다 (노⬆️리⬇️미⬇️치⬆️  꾼⬆️⬆️!),0,20211014,good_feedback
Lee Ace,https://yt3.ggpht.com/Ph-FLrzxSI855l4hwu6RikCZJ9df-8QvjS8_CP48Scq8cDZVLvS6s8sB3NJC9S6mhyYkxPLd=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=x6uch2GSnnE&amp;t=5m41s"">5:41</a> 결론은 못 알아 보는거죠?",5:41 결론은 못 알아 보는거죠?,0,20211014,bad_feedback
0 0,https://yt3.ggpht.com/ytc/AKedOLSP8bHu4BxAnRC9QbaOBBoo3LcARZ6F4TYrLDYv=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=x6uch2GSnnE&amp;t=1m20s"">1:20</a>부롸악",1:20부롸악,1,20211013,good_feedback
おおかみ,https://yt3.ggpht.com/Q1Jx7QAQ8AEfSXIX2punu1qvkK_qnLN4fgvS5zEMqr00gUJt3rvah9SuPEtIrU16OuNVBIss-Qo=s48-c-k-c0x00ffffff-no-rj,쿠리코가 왜 나와ㅋㅋㅋㅋㅋ,쿠리코가 왜 나와ㅋㅋㅋㅋㅋ,0,20211013,good_feedback
dmb,https://yt3.ggpht.com/YBgPiGQCee_5BE2vVS40Xu0fs_m7j4fgilIN4FhrGx6h0cCCUSMoFL6761X6-uQ18zXXphswsg=s48-c-k-c0x00ffffff-no-rj,솔직히 일본어랑 한국어랑 비슷해서 일본분은 좀 이해하셨을듯,솔직히 일본어랑 한국어랑 비슷해서 일본분은 좀 이해하셨을듯,0,20211012,bad_feedback
알수없음,https://yt3.ggpht.com/ytc/AKedOLTg88QJPFNyUPFK7M8-2I0ySTh_2kyR1NSp3gyJ=s48-c-k-c0x00ffffff-no-rj,쿠리코가 여기서 나오네 ㅋㅋㅋㅋ,쿠리코가 여기서 나오네 ㅋㅋㅋㅋ,1,20211012,good_feedback
Kyo Kai,https://yt3.ggpht.com/ytc/AKedOLRQzFoPia6pm3HkZGoRvVtWdivMC5EnJYjVOYrDAw=s48-c-k-c0x00ffffff-no-rj,김지민과 김준수는ㅋㅋ 연기과 나왔는데 연기 왜케 웃기냐ㅋ,김지민과 김준수는ㅋㅋ 연기과 나왔는데 연기 왜케 웃기냐ㅋ,0,20211012,bad_feedback
조우정,https://yt3.ggpht.com/ytc/AKedOLT3QgLCC2e7DaqtrwdDuNW3eiL-Q7L5Iv28Tg=s48-c-k-c0x00ffffff-no-rj,"그 나라의 언어에 대해 기본적인 리스닝은 되어야 <br>말하는 투나 악센트, 표정 등으로 연기가 상황에 맞게 자연스러운지 아닌지 알수있을거같음<br>눈치 좀 빠른사람의 경우엔 그 나라언어를 모르더라도 최소한 장면에 대한 상황설명, 대사 자막 정도 있으면 연기 못한다는걸 알아차릴듯","그 나라의 언어에 대해 기본적인 리스닝은 되어야 
말하는 투나 악센트, 표정 등으로 연기가 상황에 맞게 자연스러운지 아닌지 알수있을거같음
눈치 좀 빠른사람의 경우엔 그 나라언어를 모르더라도 최소한 장면에 대한 상황설명, 대사 자막 정도 있으면 연기 못한다는걸 알아차릴듯",0,20211011,good_feedback
민두콩,https://yt3.ggpht.com/FWq63fGbfEvhmrwCboVi8r2ckrAz33NlgHXaqDQHzc9ODCOMlcRForWuwCNlkmVX27SxkOPIxg=s48-c-k-c0x00ffffff-no-rj,토건 마렵,토건 마렵,0,20211011,good_feedback
SJ96,https://yt3.ggpht.com/ytc/AKedOLTDk8rEwFik-eyREDTpg0leXWTIs9lrb3Xkbg=s48-c-k-c0x00ffffff-no-rj,할말하않,할말하않,0,20211010,good_feedback
비터레몬,https://yt3.ggpht.com/ytc/AKedOLTxm7St6O4kG89VcV6rB3Vdo5flD9ISea-FX1OgsA=s48-c-k-c0x00ffffff-no-rj,맞출까 ㄴㄴ 맞힐까 에요 ㅋ 기본적인 것 좀,맞출까 ㄴㄴ 맞힐까 에요 ㅋ 기본적인 것 좀,0,20211010,good_feedback
엘모필통,https://yt3.ggpht.com/ytc/AKedOLRjdYodY2fP4t6GDPmzGrfOoo8i06_roaCMcY8z=s48-c-k-c0x00ffffff-no-rj,나도 디워 보기 전까진 외국 발연기 내가  모를 줄 알았지..,나도 디워 보기 전까진 외국 발연기 내가  모를 줄 알았지..,0,20211009,bad_feedback
지인,https://yt3.ggpht.com/zeHrBeTNbfrE8Y4FPIdTTkp-UrxS5Yzf3hBlZFA421B9m3awOwB9KYWB33b7yJiwgJNqvS4uN5M=s48-c-k-c0x00ffffff-no-rj,진용진님 영상  다 좋은데 가끔 선 넘는다. <br>이 영상이 답이다.,"진용진님 영상  다 좋은데 가끔 선 넘는다. 
이 영상이 답이다.",0,20211009,bad_feedback
Jik's life,https://yt3.ggpht.com/D94t2eHWimEo7-srF3oyieHJIjPKT_AGGvLZzysioF-ntMP8aI_b83y6On68LQFZZTiJcp7x=s48-c-k-c0x00ffffff-no-rj,중간에 초랭이가 나왔던거같은데,중간에 초랭이가 나왔던거같은데,0,20211009,good_feedback
이카민,https://yt3.ggpht.com/ytc/AKedOLTVJS_shL6FpGLTEhb0hsn0pFT-CDxnLkY_CGqT2g=s48-c-k-c0x00ffffff-no-rj,딱히 외국어 잘 못해도 외국 영화 많이 보다보면 발연기 캐치하기는 쉬움. 특히 오겜에 나온 vip연기력은 너무 에바라서  영어 1도 모르는 사람도 어색하다고 느낄 정도였음 물론 우리가 살면 서 영어는 많이 듣는다는 점이 크지만ㅎ,딱히 외국어 잘 못해도 외국 영화 많이 보다보면 발연기 캐치하기는 쉬움. 특히 오겜에 나온 vip연기력은 너무 에바라서  영어 1도 모르는 사람도 어색하다고 느낄 정도였음 물론 우리가 살면 서 영어는 많이 듣는다는 점이 크지만ㅎ,0,20211009,bad_feedback
나조교짱예쁨,https://yt3.ggpht.com/1fVd6MqHHS43_sTuEPBx35phPzqGIoDikiQyVEy0_VBHuvNeTQoM3jK0vydH_kLDxmU4EAMbJA=s48-c-k-c0x00ffffff-no-rj,또다른 결론: 장수원은 연기의 신이다.,또다른 결론: 장수원은 연기의 신이다.,6,20211008,good_feedback
유키yuki,https://yt3.ggpht.com/ytc/AKedOLS_kPD5RqENPfCUIHWGvl5J6_DCDWecSY_GmqFelA=s48-c-k-c0x00ffffff-no-rj,제가 수능 잘 볼지 궁금합니다,제가 수능 잘 볼지 궁금합니다,0,20211008,contents
MIN Tech -민테크,https://yt3.ggpht.com/ytc/AKedOLSGfdLDfXeTkr-Y1pOmldDeb3tFD4O2Mn6-z1ixoQ=s48-c-k-c0x00ffffff-no-rj,장수원씨 연기 ㅋㅋㅋㅋㅋㅋ,장수원씨 연기 ㅋㅋㅋㅋㅋㅋ,0,20211008,good_feedback
DD League TV,https://yt3.ggpht.com/ytc/AKedOLSNggSKLqLoMJAllpAH9HdSUk_GbqgnbTTnpOZGig=s48-c-k-c0x00ffffff-no-rj,오징어 게임처럼 유리공장에서 오래 일하면 일반이랑 강화 유리 얼룩이랑 소리로 구분 가능한지 궁읍합니다,오징어 게임처럼 유리공장에서 오래 일하면 일반이랑 강화 유리 얼룩이랑 소리로 구분 가능한지 궁읍합니다,3,20211008,contents
퍼니집,https://yt3.ggpht.com/Qc0_vDwN_rl11In1z-QWOm6w5Uioi5Rhri15oAWMYP4ENt73jzVKrka0bx6FEHhgftE6yVSFy1Q=s48-c-k-c0x00ffffff-no-rj,좋아요~😂😂재미있어요~😆🙃최고에요~👍👍,좋아요~😂😂재미있어요~😆🙃최고에요~👍👍,0,20211008,good_feedback
Soul G,https://yt3.ggpht.com/ytc/AKedOLSoE6nVgN56QXdHmd9Ylrapsz9g5dNc0AgWVjKTYA=s48-c-k-c0x00ffffff-no-rj,무도 잭스피릿성우 광희편 을 보여줬었어야지ㅋㅋㄱ,무도 잭스피릿성우 광희편 을 보여줬었어야지ㅋㅋㄱ,0,20211007,good_feedback
우영애플,https://yt3.ggpht.com/ytc/AKedOLRWrwYA_BmiCYPqKH9cPxCEmWdcRowrF9hm7_UkE64=s48-c-k-c0x00ffffff-no-rj,나도 레골라스가 발연기인줄 몰랐는뎁,나도 레골라스가 발연기인줄 몰랐는뎁,0,20211007,bad_feedback
임윤호,https://yt3.ggpht.com/ytc/AKedOLRSVWzPhlmt7YcI8MdRCPCzPOCQq1bTPeFjQQ=s48-c-k-c0x00ffffff-no-rj,이걸 보고 발연기임을 못 알아본 나는 외국인이 아니었을까...,이걸 보고 발연기임을 못 알아본 나는 외국인이 아니었을까...,0,20211007,contents
Selim H,https://yt3.ggpht.com/ytc/AKedOLQ63DAQqvfgQgtOdkTRN1zDG6HFWbUXlr63ag=s48-c-k-c0x00ffffff-no-rj,뮤비..?ㅋ,뮤비..?ㅋ,0,20211007,good_feedback
막그리거,https://yt3.ggpht.com/vZF6zydN8xnoCot9HAeL9vJOh4c54ik4M2RRn7FPzGFq6-UCAFNO9RKA6psCT9uuMSfa5qaMag=s48-c-k-c0x00ffffff-no-rj,알아맞추다가 아니라 알아맞히다가 맞습니다!!<br><br>맞히다는 화살 총알로 과녁을 맞히다.<br>혹은 정답을 맞히다 일때쓰고<br><br>맞추다는 조각을 맞추다 퍼즐을 맞추다 <br>비위를 맞추다 등등,"알아맞추다가 아니라 알아맞히다가 맞습니다!!

맞히다는 화살 총알로 과녁을 맞히다.
혹은 정답을 맞히다 일때쓰고

맞추다는 조각을 맞추다 퍼즐을 맞추다 
비위를 맞추다 등등",1,20211007,good_feedback
호기심,https://yt3.ggpht.com/HVc4BF2x737i1gEzrFhvK3riqh65KXzblm5Y85u9G6cxLrCgH4BUCI_gkmzY9H2uc_ovJy8gzA=s48-c-k-c0x00ffffff-no-rj,쿠리코를 여기서 볼줄이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,쿠리코를 여기서 볼줄이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,20211007,good_feedback
호랑이,https://yt3.ggpht.com/ytc/AKedOLRjAhadWozSSyNhgzs2KsrwnjEiRQBHs4DsGQkwNA=s48-c-k-c0x00ffffff-no-rj,맞출까 -&gt; 맞힐까 제발,맞출까 -> 맞힐까 제발,0,20211006,contents
Hyun Seo,https://yt3.ggpht.com/ytc/AKedOLSiqawNbdpJlwFsO6ULqcIlWJjf_ZOaVza260vFv6WnHA2wACX7bZtRmkLfri6c=s48-c-k-c0x00ffffff-no-rj,점점 별로 안궁금한거 찍는느낌 옛날엔 썸네일만 보면 와 이거 ㄹㅇ 궁금한데 하고 바로 들어왔는데,점점 별로 안궁금한거 찍는느낌 옛날엔 썸네일만 보면 와 이거 ㄹㅇ 궁금한데 하고 바로 들어왔는데,0,20211006,bad_feedback
Silver Moon,https://yt3.ggpht.com/ytc/AKedOLRodDuIXKzqvH3nVNUd2mRDdhwyEecV7j7lV94qxg=s48-c-k-c0x00ffffff-no-rj,장수원 옛날에 했던 연기를 보고 프로같다고 해버리는거보니 진짜 모르는가보네,장수원 옛날에 했던 연기를 보고 프로같다고 해버리는거보니 진짜 모르는가보네,0,20211006,bad_feedback
송하빵하빵하빵,https://yt3.ggpht.com/ytc/AKedOLQOcQau_ee8TIzOu8WIl6PMDOqM4hL9KSQhrAQJyTb29Q=s48-c-k-c0x00ffffff-no-rj,첫번쨰 외국인분 섭외해서 발연기하라고 시킨거 아님? ㅋㅋ<br>왤케 영어를 또박또박 말하는 것 같지 ㅋㅋㅋ,"첫번쨰 외국인분 섭외해서 발연기하라고 시킨거 아님? ㅋㅋ
왤케 영어를 또박또박 말하는 것 같지 ㅋㅋㅋ",0,20211006,good_feedback
건듬문다,https://yt3.ggpht.com/ytc/AKedOLSR1lZ4sqYBX8MgXLEXngerHma5GWh3uxhthnXRlsnVWQ=s48-c-k-c0x00ffffff-no-rj,ㅋㅋㅋㅋ,ㅋㅋㅋㅋ,0,20211006,good_feedback
정덕원,https://yt3.ggpht.com/ytc/AKedOLRIE92tzjRc8_qHWo6jfVf8-LpzL494n5JVQxGL=s48-c-k-c0x00ffffff-no-rj,발연기를 잘하는데?,발연기를 잘하는데?,0,20211006,bad_feedback
이현빈,https://yt3.ggpht.com/ytc/AKedOLSDWNdZhOXL-rzW1uKBQ3OIU_tvQJ9uuM7c_1LjGA=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=x6uch2GSnnE&amp;t=5m41s"">5:41</a> 쿠리코 진지한표정 하이 넘기엽다 ㅠㅠㅠ",5:41 쿠리코 진지한표정 하이 넘기엽다 ㅠㅠㅠ,1,20211006,good_feedback
373920 29,https://yt3.ggpht.com/ytc/AKedOLTFSj5iClnbDB2zRxdJY0svAflUIuFddjWZmexM=s48-c-k-c0x00ffffff-no-rj,그래도 일본이나 중국 드라마 영화 보면 연기 못한다 싶은 사람들 있던데... 언어는 몰라도 그 어색함은 느껴짐,그래도 일본이나 중국 드라마 영화 보면 연기 못한다 싶은 사람들 있던데... 언어는 몰라도 그 어색함은 느껴짐,0,20211006,bad_feedback
두목,https://yt3.ggpht.com/8l2CjaECvNyiWP3Xhfn-smrvbdLCPRgj2SFwJp0vzg7Al08ndLjQCOyez1oEPBy1dIhbQ3U6FA=s48-c-k-c0x00ffffff-no-rj,개웃기네 ㅋㅋ 장수원 로봇연기를 잘하네,개웃기네 ㅋㅋ 장수원 로봇연기를 잘하네,0,20211006,bad_feedback
sue,https://yt3.ggpht.com/ryHiDmGKC8wWSrGLxM25lbZHExPIOVKtvAY8bLQruFquBsGusu45aSZiDG4nsTQ8h4AWmDd-BQ=s48-c-k-c0x00ffffff-no-rj,외국인들한테 신기한tv서프라이즈 외국인 연기보여주고 발연기인지 물어보고싶다ㅋㅋㅋㅋㅋㅋㅋㅋ,외국인들한테 신기한tv서프라이즈 외국인 연기보여주고 발연기인지 물어보고싶다ㅋㅋㅋㅋㅋㅋㅋㅋ,0,20211005,contents
모들모들,https://yt3.ggpht.com/ytc/AKedOLSMTFzU95liUgml_uEEz9SI3Rcu0392_YvVsTAc=s48-c-k-c0x00ffffff-no-rj,그루빈 딜리버리 장난 아니더..,그루빈 딜리버리 장난 아니더..,0,20211005,good_feedback
은달,https://yt3.ggpht.com/ytc/AKedOLS8Yo53s7TNHxsynEQumcbZyTaCGbeQcH3v2ACeww=s48-c-k-c0x00ffffff-no-rj,표정 연기는 찐 잘한다.,표정 연기는 찐 잘한다.,0,20211005,good_feedback
Na Ya,https://yt3.ggpht.com/ytc/AKedOLRD9F3GdVZeWOB4-8-XAVkf4wPjq6Pn3PnXEw=s48-c-k-c0x00ffffff-no-rj,"내가 일본어 일절 몰랐을땐 발연기인지 몰랐던 배우들이 일본어가 능통해지고 나서 보니 발연기였던것들이 보이기 시작했음. ㅋㅋ<br>그래서 옛날처럼 일본 영화, 드라마를 즐기질 못해. ㅠㅠ","내가 일본어 일절 몰랐을땐 발연기인지 몰랐던 배우들이 일본어가 능통해지고 나서 보니 발연기였던것들이 보이기 시작했음. ㅋㅋ
그래서 옛날처럼 일본 영화, 드라마를 즐기질 못해. ㅠㅠ",0,20211005,bad_feedback
Juyoung Lim,https://yt3.ggpht.com/ytc/AKedOLTrHrHY3YOSISnzWjhhPplE_w6XzFEDUuqfTw=s48-c-k-c0x00ffffff-no-rj,고여있는 피도 모기가 먹는지 궁금해요,고여있는 피도 모기가 먹는지 궁금해요,0,20211005,contents
HAY L,https://yt3.ggpht.com/ytc/AKedOLQgb8kx6ozsGdSD_JIw4rJp4OYny00cnxPeTQ=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=x6uch2GSnnE&amp;t=3m00s"">3:00</a> 코미디 연기고 훌륭했다 가 아니라 연기가 코미디였다 아니었을까요ㅋㅋㅋㅋ",3:00 코미디 연기고 훌륭했다 가 아니라 연기가 코미디였다 아니었을까요ㅋㅋㅋㅋ,0,20211005,good_feedback
김주작,https://yt3.ggpht.com/ytc/AKedOLSDKiOAmJviY3y-0HplPl3DdFIyqBSXlulL1w=s48-c-k-c0x00ffffff-no-rj,음...다들 일본그거 보면서 아 어색하다...이게 연기냐 할때 있잔아!!!!! 예술쪽은 언어랑 달라서 잘하는지 못하는지 보임.일본영화...,음...다들 일본그거 보면서 아 어색하다...이게 연기냐 할때 있잔아!!!!! 예술쪽은 언어랑 달라서 잘하는지 못하는지 보임.일본영화...,0,20211005,bad_feedback
정다혜,https://yt3.ggpht.com/ytc/AKedOLRjMPQ9VWh7achZ1wLuIpX5o8MC42bgRDZ9Ug=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=x6uch2GSnnE&amp;t=1m29s"">1:29</a> ㅋㅋㅋㄱㅋㅋㅋㅋㄱㅋㅋ <br>ㅇㄴ you self  = 자기 소개 부탁<br>뻘하게 터졌네 ㅋㅋㅋ<br>저걸 자연스럽게 알아 듣는 분도 신기하고 덤덤하신 진용진님도 너무 웃ㅅ기다 ㅋㅋㅋㅌㄱ","1:29 ㅋㅋㅋㄱㅋㅋㅋㅋㄱㅋㅋ 
ㅇㄴ you self  = 자기 소개 부탁
뻘하게 터졌네 ㅋㅋㅋ
저걸 자연스럽게 알아 듣는 분도 신기하고 덤덤하신 진용진님도 너무 웃ㅅ기다 ㅋㅋㅋㅌㄱ",160,20211005,good_feedback
짱깨=지능낮은 장애인,https://yt3.ggpht.com/ytc/AKedOLT56iJlCfDzkIPHYOMfAcr6ZUIF1ifh39S7Q9vd-IPTJA=s48-c-k-c0x00ffffff-no-rj,저는 모르겠는데 오징어게임이나 승리호나  외국인 반응 보면 외국인들 연기는 너무 못한다라는 반응이 많더라구요,저는 모르겠는데 오징어게임이나 승리호나  외국인 반응 보면 외국인들 연기는 너무 못한다라는 반응이 많더라구요,0,20211005,bad_feedback
kei P,https://yt3.ggpht.com/ytc/AKedOLQv4_PUIpXkj8PPT6_zzBdiYx3DLebp0jouzixD7Q=s48-c-k-c0x00ffffff-no-rj,자네의 장인이신~ 요태까지 날 미행한고야 가 이해되는 영상.. <br>그들은 그게 어색한걸 몰랐구나,"자네의 장인이신~ 요태까지 날 미행한고야 가 이해되는 영상.. 
그들은 그게 어색한걸 몰랐구나",3,20211005,good_feedback
세효,https://yt3.ggpht.com/ytc/AKedOLSB8kwlABMXW-BGRdGw0af0AkBRJp_YhvntWkPTzw=s48-c-k-c0x00ffffff-no-rj,저분은 거의 한국인 아님 ㅋㅋㅋ,저분은 거의 한국인 아님 ㅋㅋㅋ,0,20211004,good_feedback
채동우,https://yt3.ggpht.com/ytc/AKedOLTixm2iQfuwLcQyCtymsY60Rz27S_6nLwqv1g=s48-c-k-c0x00ffffff-no-rj,영어 발음 좋네요,영어 발음 좋네요,0,20211004,good_feedback
KINO B,https://yt3.ggpht.com/ytc/AKedOLQ-4kz5-kJPPiVxUUSCfwzwvoA5ABUJQOzp-HDiMA=s48-c-k-c0x00ffffff-no-rj,그럴수밖에없는게 그 나라사람들이 원래 어떻게 말하고 억양이나 톤조절같은걸 뭘 알아야 판단할텐데 전혀 모르니 그냥 하면 원래 저런갑다 할수밖에..,그럴수밖에없는게 그 나라사람들이 원래 어떻게 말하고 억양이나 톤조절같은걸 뭘 알아야 판단할텐데 전혀 모르니 그냥 하면 원래 저런갑다 할수밖에..,0,20211004,bad_feedback
Xepeto,https://yt3.ggpht.com/CmWmsMNgXETrPWEqLWF8DoG4-gtBn7HG4UxUcJqHjQmCYJYPpxg3quZQMFJETM17bZl2uiieUA=s48-c-k-c0x00ffffff-no-rj,You self ㅋㅋㄱㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋㅋ,You self ㅋㅋㄱㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋㅋ,0,20211004,good_feedback
_kirisuna♡,https://yt3.ggpht.com/ytc/AKedOLRUYX2BKmVYp8CvT7Gc657o8gKWwZzOEFzJ6ChWRKjk_Q=s48-c-k-c0x00ffffff-no-rj,용진님 영어 ㅋㅋㅋㅋ쿠ㅜㅜ 왜케 귀엽지,용진님 영어 ㅋㅋㅋㅋ쿠ㅜㅜ 왜케 귀엽지,0,20211004,good_feedback
0906car,https://yt3.ggpht.com/Jre4XOmOWiOYys3ukZKIXIuKTctk1d3sbtvLZkWypSPSxW9E5gYlsqG48TMurZ33oz1l9ZKUAg=s48-c-k-c0x00ffffff-no-rj,TMI지만 하울의 움직이는 성에서 하울의 일본더빙은 일본에서는 발연기라면서 혹평이였다.<br>근데 우리가 자막으로 볼떄는 몰랐으니..,"TMI지만 하울의 움직이는 성에서 하울의 일본더빙은 일본에서는 발연기라면서 혹평이였다.
근데 우리가 자막으로 볼떄는 몰랐으니..",9,20211003,bad_feedback
Constantin,https://yt3.ggpht.com/ytc/AKedOLRRQtru-b0Hdx0RrOwRpHnTNYZo27D-2-VdGCHTpn1hX7NITvc0tx5QiFnb140m=s48-c-k-c0x00ffffff-no-rj,쿠리코님 ㅋㅋㅋㅋㅋㅋㅋ 한국어 잘하시는데 ㅋㅋㅋ,쿠리코님 ㅋㅋㅋㅋㅋㅋㅋ 한국어 잘하시는데 ㅋㅋㅋ,0,20211003,good_feedback
Terry De Black,https://yt3.ggpht.com/ytc/AKedOLTBEWvpG7UvpI9IpRUVsYf8nKMR33qlMCZUiH_N3A=s48-c-k-c0x00ffffff-no-rj,영어.. 준비라두 해서 가시지ㅜㅜ아쉽ㅜ,영어.. 준비라두 해서 가시지ㅜㅜ아쉽ㅜ,0,20211003,good_feedback
WANDS,https://yt3.ggpht.com/ytc/AKedOLScUV0WGLYkvD7TB7kEwHvvqVEn-pDCQnGG20jARg=s48-c-k-c0x00ffffff-no-rj,하긴 외국배우들도 발연기자들 있지만<br>한국사람이 외국배우들 그게 발연기인지도 모르지 연기가 발음도 중요하지만 표정 연기가<br>젤 중요하다는 생각이 됨 외국배우들 발연기인지 구분하라고 하면 난 구분 못할것 같아,"하긴 외국배우들도 발연기자들 있지만
한국사람이 외국배우들 그게 발연기인지도 모르지 연기가 발음도 중요하지만 표정 연기가
젤 중요하다는 생각이 됨 외국배우들 발연기인지 구분하라고 하면 난 구분 못할것 같아",38,20211003,bad_feedback
2216이수경,https://yt3.ggpht.com/ytc/AKedOLS_VuEXpkXcPdvKsfG6Ck9dqI50JQ_qObfDOiqwCg=s48-c-k-c0x00ffffff-no-rj,헉 영상보다가 갑자기 쿠리코님 나와서<br>당황했어요… ㅎㅎ,"헉 영상보다가 갑자기 쿠리코님 나와서
당황했어요… ㅎㅎ",1,20211003,good_feedback
